Date,Open,High,Low,Close,Volume
9-Sep-15,2.02,2.06,1.86,1.90,70826
8-Sep-15,1.93,2.00,1.85,1.94,206207
4-Sep-15,2.00,2.30,1.79,1.86,1316860
3-Sep-15,1.90,1.92,1.82,1.89,83621
2-Sep-15,1.89,1.94,1.84,1.85,49503
1-Sep-15,1.85,1.87,1.79,1.80,22768
31-Aug-15,1.86,1.94,1.82,1.88,50678
28-Aug-15,1.83,1.91,1.79,1.85,63610
27-Aug-15,1.81,1.98,1.81,1.87,69023
26-Aug-15,1.82,1.90,1.78,1.90,23303
25-Aug-15,1.78,1.82,1.71,1.78,20923
24-Aug-15,1.75,1.75,1.67,1.74,71942
21-Aug-15,1.74,1.86,1.74,1.79,38152
20-Aug-15,1.75,1.79,1.75,1.79,7572
19-Aug-15,1.75,1.81,1.75,1.78,3806
18-Aug-15,1.82,1.86,1.75,1.76,30233
17-Aug-15,1.80,1.86,1.78,1.85,59771
14-Aug-15,1.75,1.84,1.75,1.82,40977
13-Aug-15,1.78,1.78,1.75,1.75,13330
12-Aug-15,1.76,1.84,1.75,1.76,14193
11-Aug-15,1.85,1.85,1.75,1.79,20051
10-Aug-15,1.75,1.83,1.73,1.83,17274
7-Aug-15,1.78,1.81,1.72,1.75,48256
6-Aug-15,1.74,1.76,1.74,1.74,15582
5-Aug-15,1.74,1.78,1.74,1.75,11049
4-Aug-15,1.75,1.76,1.72,1.76,17311
3-Aug-15,1.76,1.83,1.74,1.76,14076
31-Jul-15,1.86,1.88,1.79,1.82,25799
30-Jul-15,1.79,1.87,1.74,1.87,21556
29-Jul-15,1.73,1.75,1.73,1.75,19845
28-Jul-15,1.74,1.76,1.74,1.75,36450
27-Jul-15,1.76,1.79,1.72,1.76,72547
24-Jul-15,1.75,1.81,1.72,1.73,39450
23-Jul-15,1.73,1.77,1.73,1.74,17464
22-Jul-15,1.72,1.83,1.72,1.75,29786
21-Jul-15,1.72,1.77,1.72,1.76,14339
20-Jul-15,1.75,1.77,1.75,1.75,36033
17-Jul-15,1.76,1.79,1.73,1.79,24386
16-Jul-15,1.75,1.78,1.73,1.78,13221
15-Jul-15,1.74,1.79,1.74,1.77,7746
14-Jul-15,1.74,1.79,1.72,1.75,11072
13-Jul-15,1.76,1.77,1.73,1.76,11303
10-Jul-15,1.75,1.78,1.72,1.75,12325
9-Jul-15,1.73,1.78,1.73,1.74,16952
8-Jul-15,1.73,1.76,1.72,1.72,19541
7-Jul-15,1.80,1.84,1.72,1.75,16383
6-Jul-15,1.87,1.91,1.79,1.83,15203
2-Jul-15,1.87,2.03,1.82,1.90,18298
1-Jul-15,1.89,1.98,1.86,1.89,16220
30-Jun-15,1.97,2.07,1.86,1.90,17469
29-Jun-15,1.92,2.15,1.86,1.99,86752
26-Jun-15,2.08,2.08,1.96,1.97,50485
25-Jun-15,1.90,2.18,1.83,2.11,122849
24-Jun-15,1.78,2.10,1.72,1.96,330596
23-Jun-15,1.83,1.90,1.82,1.82,35556
22-Jun-15,1.88,1.97,1.79,1.95,96886
19-Jun-15,1.90,1.90,1.81,1.88,26583
18-Jun-15,1.76,1.90,1.76,1.90,89105
17-Jun-15,1.67,1.80,1.65,1.75,88331
16-Jun-15,1.65,1.70,1.65,1.66,13191
15-Jun-15,1.66,1.70,1.65,1.65,88876
