Date,Open,High,Low,Close,Volume
9-Sep-15,66.39,66.44,61.22,64.05,4524784
8-Sep-15,66.33,66.99,65.33,65.89,3117280
4-Sep-15,64.59,66.11,64.32,65.68,2222758
3-Sep-15,66.05,66.88,64.60,64.95,3005621
2-Sep-15,63.85,65.48,63.66,65.36,3224745
1-Sep-15,62.82,63.76,62.22,63.07,1858846
31-Aug-15,63.08,64.43,63.08,64.01,2125307
28-Aug-15,62.62,63.48,61.97,63.17,1456135
27-Aug-15,61.60,63.70,61.30,62.64,2907096
26-Aug-15,60.33,60.77,59.05,60.31,2525361
25-Aug-15,61.50,61.90,58.69,58.70,1859539
24-Aug-15,58.40,60.80,55.16,59.07,3460412
21-Aug-15,62.37,63.06,60.62,61.95,2081012
20-Aug-15,64.81,64.88,62.80,62.96,1679282
19-Aug-15,66.43,66.43,65.05,65.36,1387889
18-Aug-15,66.35,66.98,66.15,66.70,1712936
17-Aug-15,65.15,66.50,64.57,66.37,1712319
14-Aug-15,64.27,65.37,64.15,65.17,1196678
13-Aug-15,63.30,64.95,63.20,64.50,1316869
12-Aug-15,63.72,64.12,61.38,63.02,2099061
11-Aug-15,63.34,64.75,62.76,64.45,1520051
10-Aug-15,63.05,64.40,62.62,63.99,1626415
7-Aug-15,62.16,62.48,61.34,62.37,1327987
6-Aug-15,62.91,62.98,61.94,62.27,1608125
5-Aug-15,62.43,63.13,62.43,62.69,1433708
4-Aug-15,62.26,63.24,61.85,62.57,1453541
3-Aug-15,62.78,62.96,61.13,61.87,1654016
31-Jul-15,63.29,63.58,62.59,62.86,1486599
30-Jul-15,63.67,63.83,62.84,63.07,1614783
29-Jul-15,63.17,63.86,62.45,63.74,1355125
28-Jul-15,61.29,63.73,61.25,63.22,2047675
27-Jul-15,60.79,61.44,59.86,61.17,2211511
24-Jul-15,62.07,62.75,60.48,61.24,1991789
23-Jul-15,63.29,64.82,61.90,62.00,1953990
22-Jul-15,62.45,63.28,62.22,62.86,1463106
21-Jul-15,63.43,63.74,62.34,62.77,1415830
20-Jul-15,62.90,63.73,62.77,63.36,888889
17-Jul-15,62.90,63.17,62.26,62.94,1360216
16-Jul-15,63.31,63.57,62.28,62.78,1372447
15-Jul-15,63.77,64.10,63.31,63.42,1429143
14-Jul-15,64.21,64.40,63.68,63.92,1127357
13-Jul-15,63.44,64.48,63.39,64.11,1311817
10-Jul-15,63.23,63.48,62.17,63.00,2090214
9-Jul-15,64.81,65.20,62.39,62.46,2206394
8-Jul-15,65.04,65.63,63.83,63.97,1399612
7-Jul-15,64.73,65.94,63.17,65.68,2141490
6-Jul-15,64.87,65.55,63.95,64.30,1855760
2-Jul-15,64.92,65.45,63.95,65.18,1366278
1-Jul-15,65.69,65.99,64.75,65.05,1462912
30-Jun-15,65.46,65.47,64.25,65.30,1688326
29-Jun-15,66.50,66.71,64.73,64.80,1616689
26-Jun-15,67.14,68.48,66.60,67.09,10089356
25-Jun-15,67.67,68.13,67.20,67.56,1415661
24-Jun-15,68.83,68.88,67.36,67.42,1638848
23-Jun-15,66.72,68.83,66.72,68.80,4439761
22-Jun-15,66.37,66.91,66.00,66.34,1753931
19-Jun-15,66.00,66.75,65.70,65.99,3001280
18-Jun-15,67.08,67.64,66.59,66.61,1467996
17-Jun-15,67.24,67.55,66.64,66.93,1555430
16-Jun-15,67.00,67.63,66.61,67.26,1411882
15-Jun-15,66.29,67.46,65.82,66.82,1831132
12-Jun-15,65.60,66.77,65.51,66.48,1945460
11-Jun-15,65.55,66.18,64.76,66.07,4759659
10-Jun-15,68.55,68.62,65.70,66.77,5547262
9-Jun-15,65.71,68.35,64.81,68.27,16031025
8-Jun-15,63.50,63.73,60.78,61.52,5435871
5-Jun-15,61.93,64.05,61.80,63.80,3550145
4-Jun-15,60.70,61.84,60.05,61.35,1395572
3-Jun-15,60.02,61.77,59.32,61.27,2322559
2-Jun-15,60.33,60.64,58.25,59.80,3876553
1-Jun-15,60.29,60.99,59.71,59.98,2097157
29-May-15,61.09,61.65,59.60,59.79,2754855
28-May-15,61.16,61.75,60.91,61.23,1266073
27-May-15,59.75,61.73,59.30,61.12,1985931
26-May-15,60.32,61.31,59.79,60.27,2050019
22-May-15,60.52,61.49,59.54,61.16,2901060
21-May-15,61.44,61.57,60.07,60.50,3705592
20-May-15,62.87,62.93,60.96,61.91,2350543
19-May-15,64.31,64.95,62.97,63.00,1962757
18-May-15,64.13,65.36,64.10,64.58,1343547
15-May-15,65.32,65.56,64.45,64.49,996539
14-May-15,64.41,65.65,63.58,65.20,1186010
13-May-15,64.69,65.14,64.05,64.41,1089358
12-May-15,65.53,65.60,63.83,64.70,1253965
