Date,Open,High,Low,Close,Volume
9-Sep-15,106.28,106.31,103.59,103.86,47146743
8-Sep-15,104.12,105.16,103.69,105.04,37343527
4-Sep-15,101.97,102.84,101.59,102.16,49379643
3-Sep-15,104.31,105.02,103.10,103.39,45131794
2-Sep-15,102.88,103.92,101.70,103.90,43963563
1-Sep-15,101.71,103.29,100.63,101.05,73155538
31-Aug-15,105.03,105.61,104.05,104.31,39549380
28-Aug-15,105.08,106.00,104.85,105.62,49919628
27-Aug-15,104.52,105.71,103.28,105.64,69377690
26-Aug-15,100.96,103.23,98.93,103.03,104103817
25-Aug-15,102.07,102.74,98.01,98.09,75088278
24-Aug-15,94.23,102.53,84.74,98.46,150829863
21-Aug-15,105.57,106.47,102.40,102.40,97763445
20-Aug-15,109.11,109.46,107.07,107.08,57747349
19-Aug-15,110.52,111.10,109.49,110.13,42511384
18-Aug-15,111.28,111.37,110.71,110.86,13984363
17-Aug-15,110.24,111.46,109.96,111.43,21224913
14-Aug-15,110.08,110.67,109.86,110.51,17924931
13-Aug-15,110.63,111.16,110.10,110.34,22510520
12-Aug-15,109.38,110.74,108.22,110.52,41888960
11-Aug-15,110.98,111.41,109.53,110.14,36123270
10-Aug-15,111.01,111.81,111.00,111.57,21500780
7-Aug-15,110.18,110.57,109.40,110.31,30006846
6-Aug-15,112.35,112.50,109.95,110.45,42125401
5-Aug-15,112.01,113.00,111.88,112.25,28989897
4-Aug-15,111.55,111.74,110.93,111.39,22132319
3-Aug-15,111.97,112.28,110.86,111.60,25001780
31-Jul-15,112.43,112.49,111.72,111.95,22081731
30-Jul-15,111.29,112.27,110.62,112.08,25438057
29-Jul-15,111.37,111.79,110.94,111.55,26714068
28-Jul-15,110.67,111.35,109.78,111.13,33553494
27-Jul-15,110.47,110.95,109.94,110.18,35994837
24-Jul-15,112.80,113.00,110.93,111.10,30844714
23-Jul-15,112.73,113.10,111.91,112.20,25698255
22-Jul-15,112.17,113.17,112.16,112.62,35574962
21-Jul-15,114.02,114.20,113.58,113.91,35468865
20-Jul-15,113.83,114.39,113.48,113.98,26539045
17-Jul-15,112.84,113.59,112.65,113.59,35926804
16-Jul-15,111.29,111.96,111.07,111.94,29838948
15-Jul-15,110.47,110.81,110.07,110.38,28631537
14-Jul-15,109.69,110.56,109.63,110.26,21977167
13-Jul-15,108.58,109.63,108.57,109.54,25780733
10-Jul-15,107.44,108.05,107.05,107.65,26415825
9-Jul-15,107.50,107.60,106.02,106.03,28381041
8-Jul-15,107.20,107.33,105.89,106.09,39691475
7-Jul-15,107.82,108.07,105.83,107.97,44230772
6-Jul-15,107.27,108.32,107.04,107.70,24311020
2-Jul-15,108.23,108.32,107.62,107.95,20499447
1-Jul-15,108.13,108.35,107.42,107.92,21292958
30-Jun-15,107.49,107.72,106.74,107.07,34809920
29-Jun-15,108.06,108.66,106.64,106.69,50874901
26-Jun-15,109.98,110.23,108.86,109.27,32311679
25-Jun-15,110.65,110.76,109.82,110.00,18326654
24-Jun-15,110.66,111.13,110.19,110.22,15815914
23-Jun-15,110.82,110.89,110.33,110.79,18127916
22-Jun-15,110.70,111.03,110.45,110.70,19120898
19-Jun-15,110.49,110.58,109.81,109.89,27877574
18-Jun-15,109.50,110.88,109.44,110.69,43032384
17-Jun-15,108.98,109.45,108.43,109.10,23296738
16-Jun-15,108.10,108.98,108.05,108.80,16456867
15-Jun-15,107.94,108.38,107.31,108.21,31238798
12-Jun-15,109.07,109.30,108.60,108.75,27201768
11-Jun-15,109.86,110.15,109.46,109.65,17593463
10-Jun-15,108.38,109.81,108.26,109.49,30297862
9-Jun-15,107.93,108.40,107.20,108.01,27554599
8-Jun-15,109.25,109.33,107.97,108.19,24549204
5-Jun-15,109.43,109.69,108.63,109.30,22641732
4-Jun-15,109.78,110.48,109.21,109.56,31374588
3-Jun-15,110.57,110.81,110.13,110.40,20507208
2-Jun-15,110.01,110.61,109.47,110.07,19449634
1-Jun-15,110.64,110.72,109.52,110.42,24570186
29-May-15,110.64,110.79,109.79,110.05,30382987
28-May-15,110.75,111.01,110.37,110.71,17302408
27-May-15,109.53,111.08,109.29,110.96,30572695
26-May-15,110.23,110.38,108.76,109.20,25488437
