Date,Open,High,Low,Close,Volume
9-Sep-15,3.87,3.92,3.83,3.84,22779542
8-Sep-15,3.81,3.85,3.80,3.85,22803574
4-Sep-15,3.77,3.81,3.76,3.78,20495212
3-Sep-15,3.83,3.87,3.79,3.80,30763704
2-Sep-15,3.79,3.84,3.76,3.82,27969353
1-Sep-15,3.77,3.80,3.73,3.76,43390484
31-Aug-15,3.81,3.84,3.77,3.82,21728842
28-Aug-15,3.78,3.87,3.77,3.83,21595184
27-Aug-15,3.75,3.83,3.72,3.79,28312431
26-Aug-15,3.67,3.74,3.61,3.72,52959150
25-Aug-15,3.74,3.75,3.63,3.63,25080179
24-Aug-15,3.34,3.71,3.31,3.60,41179688
21-Aug-15,3.75,3.80,3.71,3.72,41141278
20-Aug-15,3.88,3.89,3.79,3.80,34630636
19-Aug-15,3.92,3.93,3.88,3.90,19953435
18-Aug-15,3.95,3.96,3.91,3.94,16935598
17-Aug-15,3.92,3.95,3.90,3.95,13963358
14-Aug-15,3.99,4.01,3.90,3.94,27857171
13-Aug-15,3.97,3.99,3.96,3.99,21242517
12-Aug-15,3.87,4.00,3.87,3.96,43568593
11-Aug-15,3.93,3.96,3.88,3.90,24623256
10-Aug-15,3.94,3.97,3.92,3.95,19914325
7-Aug-15,3.92,3.95,3.88,3.94,19336870
6-Aug-15,3.93,3.94,3.87,3.91,42537038
5-Aug-15,3.96,3.99,3.92,3.92,31684934
4-Aug-15,3.99,4.00,3.95,3.95,28048937
3-Aug-15,3.96,4.00,3.95,3.96,25270198
31-Jul-15,3.98,4.00,3.96,3.96,26976348
30-Jul-15,3.96,4.01,3.94,3.97,37265818
29-Jul-15,3.98,4.00,3.95,3.95,36026650
28-Jul-15,3.93,3.97,3.86,3.96,85111116
27-Jul-15,3.86,3.90,3.78,3.84,56757411
24-Jul-15,3.90,3.93,3.86,3.88,36090547
23-Jul-15,3.86,3.89,3.85,3.88,57607407
22-Jul-15,3.83,3.86,3.82,3.85,21189163
21-Jul-15,3.81,3.86,3.81,3.84,33133213
20-Jul-15,3.87,3.87,3.82,3.83,15557977
17-Jul-15,3.87,3.89,3.84,3.86,17741407
16-Jul-15,3.85,3.89,3.85,3.88,18402731
15-Jul-15,3.81,3.87,3.81,3.84,19988629
14-Jul-15,3.81,3.87,3.80,3.83,27934912
13-Jul-15,3.75,3.83,3.74,3.82,21394530
10-Jul-15,3.72,3.75,3.70,3.72,19639947
9-Jul-15,3.66,3.73,3.66,3.70,33382644
8-Jul-15,3.70,3.72,3.63,3.64,19947057
7-Jul-15,3.68,3.74,3.64,3.71,22087866
6-Jul-15,3.70,3.70,3.66,3.68,37642863
2-Jul-15,3.75,3.76,3.71,3.73,16195733
1-Jul-15,3.76,3.76,3.73,3.75,29295762
30-Jun-15,3.73,3.75,3.70,3.73,31477119
29-Jun-15,3.82,3.82,3.71,3.71,31915540
26-Jun-15,3.83,3.86,3.81,3.86,36249068
25-Jun-15,3.83,3.84,3.79,3.82,21486177
24-Jun-15,3.84,3.87,3.81,3.81,13823869
23-Jun-15,3.86,3.88,3.84,3.86,10711349
22-Jun-15,3.88,3.90,3.86,3.88,17358855
19-Jun-15,3.86,3.88,3.85,3.87,33790774
18-Jun-15,3.77,3.88,3.77,3.87,47395425
17-Jun-15,3.77,3.78,3.74,3.77,30101828
16-Jun-15,3.77,3.79,3.75,3.76,28809919
15-Jun-15,3.78,3.81,3.75,3.77,24574865
12-Jun-15,3.80,3.82,3.78,3.81,11458251
11-Jun-15,3.83,3.85,3.79,3.82,22297030
10-Jun-15,3.79,3.85,3.78,3.83,26134598
9-Jun-15,3.81,3.83,3.73,3.78,30725297
8-Jun-15,3.86,3.89,3.81,3.81,22255647
5-Jun-15,3.90,3.92,3.88,3.88,19338388
4-Jun-15,3.89,3.92,3.89,3.90,13390965
3-Jun-15,3.88,3.92,3.87,3.91,16012140
2-Jun-15,3.86,3.89,3.85,3.87,19023463
1-Jun-15,3.85,3.88,3.84,3.88,24680200
29-May-15,3.80,3.86,3.79,3.86,31275158
28-May-15,3.88,3.89,3.79,3.80,38334075
27-May-15,3.87,3.92,3.87,3.90,19024899
26-May-15,3.89,3.91,3.85,3.87,19108790
22-May-15,3.92,3.93,3.90,3.91,16894839
21-May-15,3.91,3.93,3.90,3.93,16741555
20-May-15,3.90,3.92,3.89,3.91,15626223
19-May-15,3.91,3.92,3.89,3.90,15871762
18-May-15,3.89,3.91,3.88,3.90,12758844
15-May-15,3.90,3.91,3.89,3.91,17346810
14-May-15,3.88,3.90,3.87,3.89,11029617
13-May-15,3.84,3.87,3.83,3.86,16552204
12-May-15,3.81,3.86,3.80,3.84,15945415
11-May-15,3.85,3.87,3.82,3.83,17419211
8-May-15,3.87,3.89,3.85,3.87,18907419
7-May-15,3.83,3.86,3.81,3.85,17608652
6-May-15,3.85,3.86,3.81,3.83,20074873
5-May-15,3.88,3.90,3.83,3.84,21726813
4-May-15,3.93,3.95,3.88,3.89,27460467
1-May-15,3.94,3.95,3.90,3.93,30233591
30-Apr-15,3.97,3.99,3.90,3.95,39692217
29-Apr-15,3.93,4.00,3.90,3.98,39800469
28-Apr-15,3.90,3.95,3.85,3.94,54792326
27-Apr-15,3.96,3.98,3.93,3.95,22547948
24-Apr-15,3.95,3.98,3.93,3.96,25778907
23-Apr-15,3.93,3.95,3.91,3.93,20462917
22-Apr-15,3.93,3.94,3.89,3.94,21077931
21-Apr-15,3.92,3.96,3.92,3.94,24549846
20-Apr-15,3.89,3.94,3.89,3.91,19997133
17-Apr-15,3.90,3.93,3.86,3.88,28838177
16-Apr-15,3.96,3.98,3.90,3.94,25443695
15-Apr-15,3.93,3.97,3.93,3.95,22411488
14-Apr-15,3.91,3.95,3.88,3.93,34026095
13-Apr-15,3.93,3.95,3.90,3.92,26359811
10-Apr-15,3.94,3.97,3.93,3.94,23621095
9-Apr-15,3.90,3.94,3.88,3.93,16871393
8-Apr-15,3.91,3.92,3.87,3.90,33933139
7-Apr-15,3.91,3.94,3.90,3.90,21669848
6-Apr-15,3.90,3.95,3.90,3.91,30174790
2-Apr-15,3.86,3.94,3.84,3.92,27754096
1-Apr-15,3.84,3.86,3.83,3.85,24891728
31-Mar-15,3.86,3.89,3.82,3.82,25330941
30-Mar-15,3.86,3.90,3.85,3.87,18364157
27-Mar-15,3.84,3.88,3.83,3.85,14612371
26-Mar-15,3.82,3.87,3.81,3.86,25425661
25-Mar-15,3.94,3.94,3.82,3.83,29012675
24-Mar-15,3.91,3.94,3.90,3.92,15000095
23-Mar-15,3.97,3.98,3.91,3.91,28295855
20-Mar-15,4.00,4.00,3.95,3.98,36854752
19-Mar-15,3.94,3.97,3.93,3.96,25922312
18-Mar-15,3.94,3.96,3.91,3.95,24292627
17-Mar-15,3.91,3.95,3.90,3.95,28549386
16-Mar-15,3.91,3.94,3.90,3.93,19622872
13-Mar-15,3.91,3.92,3.85,3.91,37811152
12-Mar-15,3.90,3.94,3.90,3.92,24186823
11-Mar-15,3.85,3.89,3.85,3.89,21235315
10-Mar-15,3.90,3.90,3.83,3.86,30152696
9-Mar-15,3.91,3.93,3.87,3.93,20164936
6-Mar-15,3.91,3.92,3.88,3.90,20531947
5-Mar-15,3.93,3.94,3.90,3.93,19335724
4-Mar-15,4.01,4.02,3.92,3.94,32783106
3-Mar-15,3.96,4.04,3.95,4.00,61308947
2-Mar-15,3.87,3.96,3.87,3.96,30496428
27-Feb-15,3.89,3.90,3.85,3.89,16736852
26-Feb-15,3.87,3.90,3.86,3.90,19554897
25-Feb-15,3.90,3.91,3.86,3.88,26389383
24-Feb-15,3.82,3.91,3.82,3.91,23238479
23-Feb-15,3.85,3.86,3.81,3.82,21270264
20-Feb-15,3.89,3.91,3.83,3.86,24431842
