Date,Open,High,Low,Close,Volume
9-Sep-15,12.53,14.88,12.48,14.67,25067332
8-Sep-15,15.02,15.47,13.96,14.03,16057675
4-Sep-15,16.34,17.78,15.60,16.98,20651736
3-Sep-15,14.11,15.79,12.88,14.93,23536721
2-Sep-15,16.92,18.42,15.06,15.07,19266691
1-Sep-15,17.48,19.90,16.60,19.39,28239551
31-Aug-15,14.08,14.98,13.75,14.78,21235404
28-Aug-15,13.31,15.03,12.96,13.80,22768663
27-Aug-15,10.94,14.07,10.88,12.42,25744323
26-Aug-15,12.16,15.24,11.62,11.94,41135951
25-Aug-15,9.46,14.62,9.35,14.61,36088415
24-Aug-15,14.99,15.99,10.00,12.56,49231129
21-Aug-15,7.58,9.22,7.13,9.17,36641800
20-Aug-15,6.34,6.95,6.19,6.85,19873417
19-Aug-15,5.80,6.12,5.52,5.86,10127614
18-Aug-15,5.58,5.70,5.46,5.64,5041314
17-Aug-15,5.76,5.87,5.49,5.50,5081312
14-Aug-15,5.64,5.81,5.56,5.66,4920424
13-Aug-15,5.66,5.92,5.51,5.66,7667762
12-Aug-15,6.45,6.65,5.70,5.81,14553673
11-Aug-15,5.75,6.02,5.59,5.79,13841609
10-Aug-15,5.47,5.49,5.31,5.33,7720944
7-Aug-15,5.85,6.11,5.70,5.75,10059138
6-Aug-15,5.50,6.09,5.48,5.89,9560559
5-Aug-15,5.51,5.63,5.31,5.48,7873343
4-Aug-15,5.61,5.77,5.48,5.54,10623095
3-Aug-15,5.70,6.01,5.51,5.54,10554846
31-Jul-15,5.67,5.87,5.56,5.70,5964515
30-Jul-15,5.85,6.09,5.69,5.72,8146237
29-Jul-15,5.93,6.00,5.70,5.82,7249561
28-Jul-15,6.61,6.98,5.90,6.01,11983088
27-Jul-15,6.89,7.32,6.71,7.03,15544176
24-Jul-15,6.00,6.54,5.88,6.36,12134489
23-Jul-15,5.74,6.16,5.67,5.97,8735149
22-Jul-15,6.23,6.23,5.73,5.83,7112123
21-Jul-15,5.95,6.12,5.88,5.89,6821458
20-Jul-15,6.03,6.12,5.74,6.00,8415562
17-Jul-15,6.07,6.23,6.04,6.05,4899713
16-Jul-15,6.64,6.69,6.14,6.18,10421263
15-Jul-15,7.07,7.43,6.88,7.08,10613939
14-Jul-15,7.28,7.35,6.85,7.13,7070972
13-Jul-15,8.03,8.12,7.20,7.26,11158856
10-Jul-15,9.56,10.22,8.94,9.01,15469528
9-Jul-15,9.36,10.83,9.31,10.71,12066900
8-Jul-15,9.52,10.55,9.34,10.51,16485998
7-Jul-15,9.75,10.83,8.78,8.79,17799635
6-Jul-15,10.21,10.38,9.37,9.78,14453619
2-Jul-15,8.29,9.65,8.20,9.30,12223493
1-Jul-15,8.60,9.22,8.25,8.29,10699713
30-Jun-15,8.73,10.51,8.71,9.60,18873604
29-Jun-15,8.18,9.93,7.96,9.74,18054439
26-Jun-15,7.32,7.59,7.20,7.28,4117665
25-Jun-15,7.14,7.44,7.02,7.37,3943336
24-Jun-15,7.08,7.28,6.90,7.24,4595994
23-Jun-15,7.32,7.35,7.00,7.00,3401084
22-Jun-15,7.77,7.85,7.50,7.50,1700962
19-Jun-15,8.00,8.21,8.00,8.15,771949
18-Jun-15,8.23,8.29,7.91,8.00,1552452
17-Jun-15,8.50,8.90,8.30,8.50,1351280
16-Jun-15,9.01,9.08,8.49,8.57,1017279
15-Jun-15,8.67,8.89,8.51,8.89,2212800
12-Jun-15,8.32,8.51,8.20,8.26,1032289
11-Jun-15,8.30,8.36,8.05,8.10,1738412
10-Jun-15,8.89,8.91,8.40,8.42,2253064
9-Jun-15,9.40,9.60,9.08,9.14,969019
8-Jun-15,9.07,9.44,9.04,9.30,849509
5-Jun-15,9.36,9.50,9.00,9.06,1000840
4-Jun-15,9.07,9.40,8.89,9.39,1469693
3-Jun-15,8.93,9.01,8.70,8.80,1230371
2-Jun-15,9.00,9.15,8.80,9.02,1070746
1-Jun-15,8.80,9.05,8.65,8.80,675853
29-May-15,8.99,9.23,8.70,8.91,1235320
28-May-15,8.97,9.15,8.82,8.90,803054
27-May-15,9.21,9.31,8.60,8.70,1139420
26-May-15,9.00,9.53,8.94,9.38,2162554
22-May-15,8.80,8.90,8.63,8.79,1368376
21-May-15,9.50,9.50,8.70,8.80,1573337
20-May-15,9.36,9.63,9.20,9.30,1479134
19-May-15,9.50,9.76,9.21,9.31,1981153
18-May-15,10.40,10.50,9.41,9.69,3543435
15-May-15,10.40,10.80,10.40,10.40,2355280
14-May-15,10.80,11.00,10.50,10.50,3101041
13-May-15,11.20,11.40,11.00,11.00,1686764
12-May-15,11.80,12.00,11.30,11.30,2609202
11-May-15,11.05,11.40,11.00,11.40,1529634
8-May-15,11.20,11.40,10.80,10.90,3901888
7-May-15,12.50,12.60,11.80,12.00,2012606
6-May-15,11.50,12.80,11.50,12.30,3170963
5-May-15,11.40,11.90,11.20,11.80,2480969
4-May-15,11.10,11.40,10.90,11.30,1718828
1-May-15,11.90,12.00,11.20,11.30,1916525
30-Apr-15,12.10,12.70,11.70,12.20,2688155
29-Apr-15,11.70,12.10,11.30,11.80,2088951
28-Apr-15,12.00,12.70,11.20,11.20,2568277
27-Apr-15,11.10,12.10,11.10,12.00,1512169
24-Apr-15,11.40,11.60,11.30,11.30,870761
