Date,Open,High,Low,Close,Volume
9-Sep-15,25.97,26.04,23.89,24.09,39593836
8-Sep-15,24.06,24.73,23.75,24.66,28605902
4-Sep-15,23.38,23.93,22.13,22.75,42964770
3-Sep-15,25.21,26.22,23.81,24.53,51209830
2-Sep-15,23.34,24.44,22.46,24.44,32108852
1-Sep-15,23.30,24.02,21.31,22.01,50719396
31-Aug-15,26.35,26.70,25.40,25.64,29358245
28-Aug-15,27.10,27.53,25.30,26.63,37128715
27-Aug-15,29.81,29.86,26.30,27.99,56902800
26-Aug-15,28.39,28.88,25.51,28.66,53815626
25-Aug-15,31.00,31.16,26.02,26.10,55721911
24-Aug-15,24.88,34.37,22.88,29.58,82783255
21-Aug-15,42.37,41.89,35.98,36.04,55522778
20-Aug-15,44.95,45.60,42.69,43.09,30007335
19-Aug-15,47.17,48.39,45.79,46.94,28024061
18-Aug-15,48.22,48.68,47.58,47.88,11283678
17-Aug-15,47.38,48.51,46.91,48.45,9967504
14-Aug-15,47.85,48.29,47.13,47.84,9659038
13-Aug-15,47.65,48.44,46.69,47.79,15391494
12-Aug-15,44.66,47.60,43.80,47.17,21662020
11-Aug-15,47.59,48.24,46.24,47.21,18398212
10-Aug-15,48.82,49.50,48.81,49.44,7005432
7-Aug-15,47.32,47.92,46.29,47.61,16320677
6-Aug-15,48.86,48.90,46.25,47.16,17624597
5-Aug-15,48.74,49.60,48.21,48.88,13055769
4-Aug-15,48.44,49.00,47.66,48.54,13747544
3-Aug-15,48.27,48.88,46.80,48.76,14348934
31-Jul-15,48.29,48.74,47.38,48.04,12476589
30-Jul-15,47.45,48.18,46.46,47.97,13246155
29-Jul-15,47.12,48.09,46.88,47.65,14559820
28-Jul-15,45.00,47.29,43.89,46.95,18238597
27-Jul-15,44.35,44.95,42.70,43.75,20796404
24-Jul-15,47.68,48.20,45.47,46.20,19847889
23-Jul-15,48.79,49.06,47.00,47.59,18658211
22-Jul-15,46.78,48.81,46.78,48.34,13039803
21-Jul-15,47.90,48.19,47.22,48.11,11785106
20-Jul-15,47.58,48.72,47.32,47.69,11218702
17-Jul-15,47.49,47.65,46.86,47.56,11519056
16-Jul-15,45.68,47.28,45.56,47.24,15085073
15-Jul-15,44.28,44.85,43.14,44.24,15483022
14-Jul-15,43.62,44.96,43.38,44.06,16827616
13-Jul-15,42.05,43.93,41.83,43.77,21241815
10-Jul-15,38.98,39.98,37.92,39.91,27400501
9-Jul-15,39.47,39.63,36.94,37.15,25188199
8-Jul-15,39.88,40.37,37.41,37.48,37258237
7-Jul-15,39.68,41.69,37.40,41.66,33050117
6-Jul-15,38.67,40.51,38.27,39.59,24588581
2-Jul-15,43.31,43.51,39.76,40.59,26043104
1-Jul-15,42.70,43.40,41.41,43.30,22667820
30-Jun-15,42.39,42.48,38.73,40.61,30450837
29-Jun-15,45.65,46.41,39.82,40.47,38561621
26-Jun-15,48.59,48.90,47.57,48.60,14805100
25-Jun-15,49.09,49.51,48.04,48.31,13763959
24-Jun-15,49.45,50.10,48.64,48.78,12329903
23-Jun-15,48.72,49.74,48.66,49.68,11581074
22-Jun-15,47.55,48.49,47.22,48.46,12762042
19-Jun-15,46.98,47.08,46.27,46.53,12295447
18-Jun-15,46.28,47.45,46.13,46.97,16235576
17-Jun-15,45.74,46.15,44.61,45.66,20804931
16-Jun-15,44.29,45.72,44.06,45.49,13737763
15-Jun-15,45.58,45.78,44.66,44.72,17024380
12-Jun-15,46.68,46.87,45.81,46.70,14033601
11-Jun-15,46.90,47.59,46.67,47.34,12003002
10-Jun-15,45.11,46.50,45.02,46.34,14455449
9-Jun-15,43.84,44.64,43.38,44.41,13834873
8-Jun-15,44.67,44.79,43.65,43.98,12602945
5-Jun-15,44.03,44.99,43.65,44.85,15341160
4-Jun-15,45.03,45.26,43.83,44.10,18172503
3-Jun-15,45.26,45.77,44.94,45.65,12700511
2-Jun-15,45.10,45.67,44.61,44.87,11986244
1-Jun-15,45.70,46.08,44.91,45.61,12826380
29-May-15,45.36,45.82,44.54,45.19,14036618
28-May-15,45.46,45.74,44.83,45.47,12197811
27-May-15,44.71,46.25,44.43,45.99,10979122
26-May-15,45.57,45.78,43.88,44.31,16987171
22-May-15,46.28,46.64,45.89,46.09,10089616
21-May-15,44.70,46.43,44.50,46.18,11050336
20-May-15,45.13,45.36,44.34,44.95,14389795
19-May-15,44.65,45.39,44.05,45.03,13022207
18-May-15,43.00,44.76,42.93,44.40,9948657
15-May-15,42.79,43.02,42.14,42.99,9988535
14-May-15,42.25,42.65,42.07,42.65,8124584
13-May-15,41.43,41.88,40.98,41.78,12636127
12-May-15,40.21,41.30,39.72,41.06,14083419
11-May-15,41.94,42.08,40.90,40.96,11199412
8-May-15,41.49,42.16,41.22,41.98,12498414
7-May-15,39.45,40.31,38.94,39.90,15883693
6-May-15,40.79,40.98,38.34,39.68,23925428
5-May-15,41.51,41.83,40.28,40.34,18083180
4-May-15,42.11,42.44,41.26,41.69,11282364
1-May-15,40.44,41.85,40.42,41.82,13636216
30-Apr-15,40.49,40.93,39.08,39.92,19009980
29-Apr-15,41.12,41.90,40.34,41.02,21622755
28-Apr-15,40.44,42.17,39.33,42.16,15657655
27-Apr-15,42.32,42.46,40.42,40.75,13994544
24-Apr-15,41.82,42.07,41.46,41.92,7163732
23-Apr-15,40.88,41.93,40.71,41.53,8476809
22-Apr-15,40.94,41.33,40.13,41.16,10673023
21-Apr-15,41.21,41.35,40.24,40.71,13367819
20-Apr-15,40.19,40.94,39.96,40.72,11428738
17-Apr-15,39.46,39.68,38.26,39.37,25597221
16-Apr-15,39.80,41.16,39.64,40.77,13087729
