Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.4437850514092338,0.0238210799771465,4.081151962280273
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.42302262903295074,0.028265134978674486,4.150918245315552
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,10,20,,0.4259666056484031,0.023227256568750347,0.323164701461792
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,10,20,,0.4434809997785349,0.010801360495023515,0.35039496421813965
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,10,20,,0.420794996757064,0.01351471790478151,0.34213900566101074
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,10,20,,0.42753541589444477,0.014722300328478443,0.25330018997192383
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.43230625041877263,0.008894346214287084,2.690009117126465
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.45006826201204625,0.1294170680024023,2.510939359664917
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.4697521226052244,0.12067097089861506,2.545069932937622
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.44958587436882214,0.13553290865268364,2.610762596130371
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.43820058210674984,0.15833784953052793,2.5885088443756104
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.4283160774506336,0.12765842919624742,2.5565693378448486
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.4420215286184351,0.1308981439581327,2.5641419887542725
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.42380467179675085,0.15578081934367885,2.710721492767334
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
power_ica,100,20,,0.461018884906024,0.1487470762863091,36.99371695518494
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
jade,100,20,,0.4524984896807537,0.12872759854073917,27.62123990058899
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
power_ica,100,20,,0.4396355424208858,0.1470655432206653,50.983627796173096
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
power_ica,100,20,,0.5266517434623902,0.1524018987018778,47.57259392738342
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
power_ica,100,20,,0.4356971009821502,0.18520923631930664,25.84995937347412
Method,# Runs,Noise-level,Seed,Mean,Std,Time elapsed
power_ica,100,20,,0.45415827659434455,0.1621987063370776,53.12800431251526
